,player,team,game,points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0,Carmelo_Anthony,Portland Trail Blazers,8137,21,,23:07,8,13,61.5,2,2,100,3,3,100,0,4,4,2,2,0,3,1,10,
1,Carmelo_Anthony,Portland Trail Blazers,8150,7,,13:30,3,9,33.3,0,0,0.0,1,3,33.3,0,2,2,0,1,0,0,0,-7,
2,Carmelo_Anthony,Portland Trail Blazers,8162,14,,20:18,5,12,41.7,2,2,100,2,5,40.0,0,2,2,1,4,2,3,1,-7,
3,Carmelo_Anthony,Portland Trail Blazers,7504,3,,13:16,0,7,0.0,3,4,75.0,0,1,0.0,1,1,2,0,1,0,1,0,-19,
4,Carmelo_Anthony,Portland Trail Blazers,7528,15,,24:04,5,12,41.7,5,6,83.3,0,0,0.0,1,3,4,0,2,1,1,0,-3,
5,Carmelo_Anthony,Portland Trail Blazers,7537,5,,20:26,2,9,22.2,0,0,0.0,1,2,50.0,0,1,1,2,2,2,0,0,-16,
6,Carmelo_Anthony,Portland Trail Blazers,8242,15,,25:02,3,5,60.0,9,10,90.0,0,2,0.0,0,5,5,2,2,0,1,0,-18,
7,Carmelo_Anthony,Portland Trail Blazers,8259,18,,23:50,5,9,55.6,5,5,100,3,4,75.0,0,5,5,1,3,0,2,1,6,
8,Carmelo_Anthony,Portland Trail Blazers,8273,10,,27:11,2,8,25.0,4,4,100,2,7,28.6,0,3,3,0,6,0,0,0,-7,
9,Carmelo_Anthony,Portland Trail Blazers,8287,12,,27:58,4,9,44.4,0,0,0.0,4,6,66.7,0,4,4,0,1,1,2,0,-9,
10,Carmelo_Anthony,Portland Trail Blazers,8303,9,,21:02,4,9,44.4,0,0,0.0,1,4,25.0,1,2,3,3,0,1,0,0,13,
11,Carmelo_Anthony,Portland Trail Blazers,8321,13,,21:50,4,12,33.3,4,6,66.7,1,5,20.0,0,2,2,0,3,0,0,1,-4,
12,Carmelo_Anthony,Portland Trail Blazers,8336,20,,35:15,6,14,42.9,4,4,100,4,9,44.4,1,4,5,3,2,2,1,2,2,
13,Carmelo_Anthony,Portland Trail Blazers,8354,6,,20:22,2,4,50.0,0,0,0.0,2,2,100,0,2,2,1,2,1,1,1,0,
