,player,team,game,points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0,D.J._Augustin,Milwaukee Bucks,8141,3.0,,19:17,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-13,
1,D.J._Augustin,Milwaukee Bucks,8154,6.0,,19:23,1.0,2.0,50.0,4.0,4.0,100,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,2.0,0.0,-18,
2,D.J._Augustin,Milwaukee Bucks,7502,,,,,,,,,,,,,,,,,,,,,,DNP - Injury / Illness
3,D.J._Augustin,Milwaukee Bucks,7514,13.0,,13:27,4.0,6.0,66.7,2.0,2.0,100,3.0,3.0,100,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10,
4,D.J._Augustin,Milwaukee Bucks,7544,2.0,,13:44,0.0,6.0,0.0,2.0,2.0,100,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-19,
5,D.J._Augustin,Milwaukee Bucks,8232,10.0,,20:44,3.0,5.0,60.0,2.0,2.0,100,2.0,4.0,50.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,21,
6,D.J._Augustin,Milwaukee Bucks,8239,3.0,,12:43,1.0,5.0,20.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-12,
7,D.J._Augustin,Milwaukee Bucks,8254,0.0,,18:49,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,14,
8,D.J._Augustin,Milwaukee Bucks,8280,11.0,,18:38,4.0,5.0,80.0,0.0,0.0,0.0,3.0,3.0,100,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,10,
9,D.J._Augustin,Milwaukee Bucks,8294,8.0,,22:19,2.0,4.0,50.0,2.0,2.0,100,2.0,4.0,50.0,0.0,4.0,4.0,6.0,2.0,1.0,1.0,0.0,12,
10,D.J._Augustin,Milwaukee Bucks,8310,0.0,,18:36,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-8,
